pity.n.02	an unfortunate development	REGRET_SORRY
ablution.n.01	the ritual washing of a priest's hands or of sacred vessels	WASH_CLEAN
vandalism.n.01	willful wanton and malicious destruction of the property of others	DESTROY
boiling.n.01	the application of heat to change something from a liquid to a gas	HEAT
dereliction.n.02	willful negligence	MISS_OMIT_LACK
spray_painting.n.01	applying paint with a sprayer	PAINT
game.n.01	a contest with rules to determine a winner	PLAY_SPORT/GAME
sour.n.02	the taste experience when vinegar or lemon juice is taken into the mouth	TASTE
ceremony.n.01	a formal event performed on a special occasion	CELEBRATE_PARTY

abandonment.n.01	the act of giving something up	GIVE-UP_ABOLISH_ABANDON
desertion.n.01	withdrawing support or help despite allegiance or responsibility	BETRAY
suspension.n.04	an interruption in the intensity or amount of something	STOP
renunciation.n.03	an act (spoken or written) declaring that something is surrendered or disowned	GIVE-UP_ABOLISH_ABANDON
renunciation.n.04	the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)	GIVE-UP_ABOLISH_ABANDON
stay.n.01	continuing or remaining in a place or state	REMAIN
conformity.n.02	acting according to certain accepted standards	MATCH
rubdown.n.01	the act of rubbing down, usually for relaxation or medicinal purposes	TOUCH
abrogation.n.01	the act of abrogating; an official or legal cancellation	CANCEL_ELIMINATE
assimilation.n.02	the social process of absorbing one cultural group into harmony with another	CO-OPT
occupation.n.03	any activity that occupies a person's attention	CARRY-OUT-ACTION
submission.n.02	the act of submitting; usually surrendering power to another	SUBJUGATE
adoption.n.01	the act of accepting with approval; favorable reception	FOLLOW_SUPPORT_SPONSOR_FUND
adjustment.n.01	making or becoming suitable; adjusting to circumstances	FIT
accommodation.n.05	the act of providing something (lodging or seat or food) to meet a need	LOAD_PROVIDE_CHARGE_FURNISH
lodging.n.03	the act of lodging	HOST_MEAL_INVITE
reconciliation.n.02	getting two things to correspond	HARMONIZE
accomplishment.n.01	the action of accomplishing something	ACHIEVE
execution.n.06	the act of accomplishing some aim or executing some order	CARRY-OUT-ACTION
fulfillment.n.02	the act of consummating something (a desire or promise etc)	SATISFY_FULFILL
solicitation.n.03	the act of enticing a person to do something wrong (as an offer of sex in return for money)	LURE_ENTICE
calculation.n.01	the procedure of calculating; determining something by mathematical or logical methods	CALCULATE_ESTIMATE
accumulation.n.03	the act of accumulating	AMASS
socialization.n.03	the adoption of the behavior patterns of the surrounding culture	TEACH
compilation.n.02	the act of compiling (as into a single book or file or list)	MOUNT_ASSEMBLE_PRODUCE
conglomeration.n.03	an occurrence combining miscellaneous things into a (more or less) rounded mass	AMASS
gather.n.02	the act of gathering something	AMASS
crime.n.01	(criminal law) an act punishable by law; usually considered an evil act	VIOLATE
acetylation.n.01	the process of introducing an acetyl group into a compound	INSERT
reception.n.04	the act of receiving	RECEIVE
notice.n.02	the act of noticing or paying attention	RECOGNIZE_ADMIT_IDENTIFY
presentation.n.06	formally making a person known to another or to the public	SHOW
acquiring.n.01	the act of acquiring something	OBTAIN
learning.n.01	the cognitive process of acquiring skill or knowledge	LEARN
growth.n.01	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level	GROW_PLOW
evolution.n.02	(biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms	AMELIORATE
vindication.n.01	the act of vindicating or defending against criticism or censure etc.	ARGUE-IN-DEFENSE
act.n.02	something that people do or cause to happen	CARRY-OUT-ACTION
move.n.01	the act of deciding to do something	CARRY-OUT-ACTION
play.n.02	a theatrical performance of a drama	PERFORM
portrayal.n.02	acting the part of a character on stage; dramatically representing the character by speech and action and gesture	PERFORM
influence.n.04	the effect of one thing (or person) on another	INFLUENCE
propulsion.n.02	the act of propelling	SHOOT_LAUNCH_PROPEL
trigger.n.03	an act that sets in motion some course of events	BEGIN
count.n.02	the act of counting; reciting numbers in ascending order	COUNT
attachment.n.06	the act of attaching or affixing something	ATTACH
supplementation.n.02	the act of supplementing	ADD
discussion.n.01	an extended communication (often interactive) dealing with some particular topic	DISCUSS
attachment.n.05	faithful support for a cause or political party or religion	FOLLOW_SUPPORT_SPONSOR_FUND
junction.n.05	an act of joining or adjoining things	JOIN_CONNECT
touch.n.01	the event of something coming in contact with the body	TOUCH
respite.n.02	a pause from doing something (as work)	STOP
decision_making.n.01	the cognitive process of reaching a decision	DECIDE_DETERMINE
adjuration.n.01	a solemn and earnest appeal to someone to do something	ASK_REQUEST
command.n.01	an authoritative direction or instruction to do something	ORDER
adjustment.n.03	the act of adjusting something to match a standard	ADJUST_CORRECT
alteration.n.02	the act of making something different (as e.g. the size of a garment)	CHANGE_SWITCH
deal.n.09	the act of apportioning or distributing something	CIRCULATE_SPREAD_DISTRIBUTE
distribution.n.03	the act of distributing or spreading or apportioning	CIRCULATE_SPREAD_DISTRIBUTE
insertion.n.02	the act of putting one thing into another	INSERT
inclusion.n.04	the act of including	INCLUDE-AS
dilution.n.02	weakening (reducing the concentration) by the addition of water or a thinner	WEAKEN
improvement.n.01	a change for the better; progress in development	AMELIORATE
win.n.01	a victory (as in a race or other competition)	WIN
advancement.n.03	gradual improvement or growth or development	GROW_PLOW
aggrandizement.n.01	the act of increasing the wealth or prestige or power or scope of something	PROMOTE
contact.n.04	the physical coming together of two or more things	JOIN_CONNECT
adventure.n.01	a wild and exciting undertaking (not necessarily lawful)	RISK
risk.n.02	a venture undertaken without regard to possible loss or injury	RISK
naming.n.01	the verbal act of naming	NAME
advertising.n.02	the business of drawing public attention to goods and services	PUBLICIZE
deliberation.n.02	careful consideration	CONSIDER
telling.n.02	informing by words	INFORM
suggestion.n.04	persuasion formulated as a suggestion	PERSUADE
impingement.n.01	influencing strongly	AFFECT
pretense.n.01	the act of giving a false appearance	DECEIVE
association.n.02	the act of consorting with or joining with others	ALLY_ASSOCIATE_MARRY
documentation.n.03	documentary validation	PROVE
affirmation.n.02	the act of affirming or asserting or stating something	AFFIRM
combination.n.06	the act of arranging elements into specified groups without regard to order	AMASS
combining.n.01	an occurrence that results in things being united	COMBINE_MIX_UNITE
grouping.n.02	the activity of putting things together in groups	GROUP
fomentation.n.03	deliberate and intentional triggering (of trouble or discord)	AROUSE_WAKE_ENLIVEN
arousal.n.01	the act of arousing	AROUSE_WAKE_ENLIVEN
excitation.n.03	something that agitates and arouses	AROUSE_WAKE_ENLIVEN
shift.n.05	the act of moving from one place to another	MOVE-SOMETHING
wag.n.02	causing to move repeatedly from side to side	MOVE-ONESELF
harmony.n.04	agreement of opinions	HARMONIZE
aid.n.02	the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose	HELP_HEAL_CARE_CURE
care.n.01	the work of providing treatment for or attending to someone or something	HELP_HEAL_CARE_CURE
trouble.n.03	an event causing distress or pain	HURT_HARM_ACHE
transmission.n.02	communication by means of transmitted signals	TRANSMIT
airlift.n.01	transportation of people or goods by air (especially when other means of access are unavailable)	CARRY_TRANSPORT
coordination.n.02	the regulation of diverse elements into an integrated and harmonious operation	ADJUST_CORRECT
easing.n.02	the act of reducing something unpleasant (as pain or annoyance)	HELP_HEAL_CARE_CURE
emblem.n.02	a visible symbol representing an abstract idea	REPRESENT
parcel.n.02	the allotment of some amount by dividing something	SORT_CLASSIFY_ARRANGE
change.n.01	an event that occurs when something passes from one state or phase to another	CHANGE_SWITCH
change.n.03	the action of changing something	CHANGE_SWITCH
change.n.04	the result of alteration or modification	CHANGE_SWITCH
falsification.n.02	a willful perversion of facts	FAKE
controversy.n.01	a contentious speech act; a dispute where there is strong disagreement	QUARREL_POLEMICIZE
debate.n.02	the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)	DISCUSS
dispute.n.01	a disagreement or argument about something important	DISCUSS
dispute.n.02	coming into conflict with	QUARREL_POLEMICIZE
fight.n.02	the act of fighting; any contest or struggle	FIGHT
reversal.n.04	a decision to reverse an earlier decision	INVERT_REVERSE
switch.n.07	the act of changing one thing or position for another	CHANGE_SWITCH
tack.n.05	(nautical) the act of changing tack	TURN_CHANGE-DIRECTION
mix.n.02	an event that combines things in a mixture	COMBINE_MIX_UNITE
mystification.n.03	the activity of obscuring people's understanding, leaving them baffled or bewildered	COMPLEXIFY
amble.n.01	a leisurely walk (usually in some public place)	MOVE-ONESELF
amelioration.n.01	the act of relieving ills and changing for the better	AMELIORATE
correction.n.01	the act of offering an improvement to replace a mistake; setting right	ADJUST_CORRECT
redress.n.02	act of correcting an error or a fault or an evil	REPAIR_REMEDY
reparation.n.04	something done or paid in expiation of a wrong	REPAIR_REMEDY
diversion.n.01	an activity that diverts or amuses or stimulates	CAUSE-MENTAL-STATE
entertainment.n.01	an activity that is diverting and that holds the attention	ENJOY
examen.n.01	a detailed inspection of your conscience (as done daily by Jesuits)	ANALYZE
survey.n.01	a detailed critical inspection	ANALYZE
rock.n.07	pitching dangerously to one side	MOVE-ONESELF
annealing.n.01	hardening something by heat treatment	CHANGE-APPEARANCE/STATE
temperance.n.03	the act of tempering	CHANGE-APPEARANCE/STATE
annihilation.n.01	destruction by annihilating something	DESTROY
destruction.n.02	an event (or the result of an event) that completely destroys something	DESTROY
nullification.n.02	the act of nullifying; making null and void; counteracting or overriding the effect or force of something	COMPENSATE
payment.n.02	the act of paying money	PAY
justification.n.03	the act of defending or explaining or making excuses for by reasoning; - H.J.Muller	JUSTIFY_EXCUSE
dressing.n.06	the activity of getting dressed; putting on clothes	DRESS_WEAR
pacification.n.01	the act of appeasing someone or causing someone to be more favorably inclined	MAKE-RELAX
placation.n.01	the act of placating and overcoming distrust and animosity	MAKE-RELAX
application.n.01	the act of bringing something to bear; using it for a particular purpose	APPLY
use.n.01	the act of using	USE
application.n.03	the work of applying something	COVER_SPREAD_SURMOUNT
custom.n.01	accepted or habitual practice	BEHAVE
practice.n.01	a customary way of operation or behavior	BEHAVE
practice.n.04	the exercise of a profession	WORK
enforcement.n.01	the act of enforcing; ensuring observance of or obedience to	OBLIGE_FORCE
nomination.n.01	the act of officially naming a candidate	CHOOSE
care.n.05	attention and management implying responsibility for safety	HELP_HEAL_CARE_CURE
mission.n.03	a special assignment that is given to a person or group	ASSIGN-smt-to-smn
measurement.n.01	the act or process of assigning numbers to phenomena according to a rule	MEASURE_EVALUATE
reappraisal.n.01	a new appraisal or evaluation	ANALYZE
comprehension.n.01	an ability to understand the meaning or importance of something (or the knowledge acquired as a result)	UNDERSTAND
apprehension.n.04	the act of apprehending (especially apprehending a criminal)	CAGE_IMPRISON
approach.n.02	the act of drawing spatially closer to something	GO-FORWARD
conquest.n.01	the act of conquering	CONQUER
intervention.n.01	the act of intervening (as to mediate a dispute, etc.)	NEGOTIATE
argumentation.n.02	a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process of logical reasoning	EXPLAIN
emergence.n.01	the gradual beginning or coming forth	BEGIN
initiation.n.02	the act of starting something for the first time; introducing something new	ESTABLISH
origin.n.03	an event that is a beginning; a first part or stage of subsequent events	BEGIN
rise.n.02	the act of changing location in an upward direction	RAISE
arming.n.01	the act of equiping with weapons in preparation for war	PREPARE
energizing.n.01	the activity of causing to have energy and be active	LOAD_PROVIDE_CHARGE_FURNISH
attainment.n.02	arrival at a new stage	REACH
confiscation.n.01	seizure by the government	STEAL_DEPRIVE
articulation.n.03	expressing in coherent verbal form	SPEAK
conceptualization.n.01	inventing or contriving an idea or explanation and formulating it mentally	THINK
decision.n.01	the act of making up your mind about something	DECIDE_DETERMINE
determination.n.01	the act of determining the properties of something, usually by research or calculation	DECIDE_DETERMINE
attribution.n.02	assigning to a cause or source	ASCRIBE
questioning.n.01	a request for information	ASK_REQUEST
invitation.n.01	a request (spoken or written) to participate or be present or take part in something	HOST_MEAL_INVITE
meeting.n.04	the social act of assembling for some common purpose	MEET
delegating.n.01	authorizing subordinates to make certain decisions	ASSIGN-smt-to-smn
categorization.n.03	the act of distributing things into classes or categories of the same type	SORT_CLASSIFY_ARRANGE
sort.n.04	an operation that segregates items into groups according to a specified criterion	SORT_CLASSIFY_ARRANGE
presumption.n.04	a kind of discourtesy in the form of an act of presuming	SUPPOSE
reassurance.n.01	the act of reassuring; restoring someone's confidence	STRENGTHEN_MAKE-RESISTANT
atomization.n.01	separating something into fine particles	SEPARATE_FILTER_DETACH
fastening.n.02	the act of fastening things together	SECURE_FASTEN_TIE
impoundment.n.01	placing private property in the custody of an officer of the law	RESTRAIN
undertaking.n.01	any piece of work that is undertaken or attempted	WORK
rarefaction.n.01	a decrease in the density of something	REDUCE_DIMINISH
attenuation.n.01	weakening in force or intensity	WEAKEN
pull.n.01	the act of pulling; applying force to move something toward or with you	PULL
pull.n.02	the force used in pulling	PULL
examination.n.01	the act of examining something closely (as for mistakes)	ANALYZE
authentication.n.02	validating the authenticity of something or someone	AUTHORIZE_ADMIT
automation.n.01	the act of implementing the control of equipment with advanced technology; usually involving electronic hardware	AUTOMATIZE
retaliation.n.01	action taken in return for an injury or offense	PUNISH
navigation.n.01	the guidance of ships or airplanes from place to place	DIRECT_AIM_MANEUVER	
piloting.n.02	the occupation of a pilot	DIRECT_AIM_MANEUVER
gurgle.n.01	the bubbling sound of water flowing from a bottle with a narrow neck	MAKE-A-SOUND
ripple.n.01	a small wave on the surface of a liquid	FLOW
tattle.n.01	disclosing information or giving evidence about another	REVEAL
indulgence.n.03	the act of indulging or gratifying a desire	ENJOY
backing.n.01	the act of providing approval and support	FOLLOW_SUPPORT_SPONSOR_FUND
support.n.02	aiding the cause or policy or interests of	FOLLOW_SUPPORT_SPONSOR_FUND
gambling.n.01	the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)	BID
withdrawal.n.01	a retraction of a previously held position	MOVE-BACK
gripe.n.01	informal terms for objecting	OPPOSE_REBEL_DISSENT
packing.n.03	carrying something in a pack on the back	CARRY_TRANSPORT
tease.n.03	the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances	JOKE
shock.n.06	an unpleasant or disappointing surprise	UNDERGO-EXPERIENCE
blunder.n.01	an embarrassing mistake	MISTAKE
spoil.n.02	the act of spoiling something by causing damage to it	SPOIL
inflation.n.04	the act of filling something with air	INCREASE_ENLARGE_MULTIPLY
dressing.n.07	the act of applying a bandage	ENCLOSE_WRAP
slam.n.03	a forceful impact that makes a loud noise	HIT
bang.n.02	a sudden very loud noise	MAKE-A-SOUND
banishment.n.02	rejection by means of an act of banishing or proscribing someone	PRECLUDE_FORBID_EXPEL
fete.n.01	an elaborate party (often outdoors)	CELEBRATE_PARTY
heave.n.04	an involuntary spasm of ineffectual vomiting	EXCRETE
exhortation.n.01	a communication intended to urge or persuade the recipients to take some action	PERSUADE
exhortation.n.02	the act of exhorting; an earnest attempt at persuasion	PERSUADE
barter.n.01	an equal exchange	CHANGE-HANDS
enjoyment.n.02	act of receiving pleasure from something	ENJOY
battle.n.01	a hostile meeting of opposing military forces in the course of a war	FIGHT
character.n.04	an actor's portrayal of someone in a play	PERFORM
drift.n.01	a force that moves something along	MOVE-SOMETHING
gust.n.01	a strong current of air	AIR
beam.n.04	a column of light (as from a beacon)	LIGHT_SHINE
carry.n.01	the act of carrying something	CARRY_TRANSPORT
output.n.02	production of a certain amount	GENERATE
beat.n.06	the sound of stroke or blow	MAKE-A-SOUND
beat.n.09	a stroke or blow	HIT
exhaustion.n.03	the act of exhausting something entirely	EXHAUST
fibbing.n.01	a trivial act of lying or being deliberately unclear	DECEIVE
lying.n.01	the deliberate act of deviating from the truth	DECEIVE
drive.n.01	the act of applying force to propel something	GO-FORWARD
thrill.n.03	something that causes you to experience a sudden intense feeling or sensation	CAUSE-MENTAL-STATE
fog.n.02	an atmosphere in which visibility is reduced because of a cloud of some substance	DIM
turn.n.04	an unforeseen development	TURN_CHANGE-DIRECTION
badgering.n.01	the act of harassing someone	OFFEND_DISESTEEM
crucifixion.n.03	the infliction of extremely painful punishment or suffering	HURT_HARM_ACHE
fortification.n.03	the addition of an ingredient for the purpose of enrichment (as the addition of alcohol to wine or the addition of vitamins to food)	STRENGTHEN_MAKE-RESISTANT
beep.n.01	a short high tone produced as a signal or warning	MAKE-A-SOUND
fraud.n.03	something intended to deceive; deliberate trickery intended to gain an advantage	DECEIVE
generation.n.07	the act of producing offspring or multiplying by such production	GENERATE
genesis.n.01	a coming into being	GIVE-BIRTH
consideration.n.01	the process of giving careful thought to something	CONSIDER
consideration.n.03	a discussion of a topic (as in a meeting)	CONSIDER
deprecation.n.02	the act of expressing disapproval (especially of yourself)	REFUSE
minimization.n.01	the act of reducing something to the least possible amount or degree or position	DOWNPLAY_HUMILIATE
bell.n.03	the sound of a bell being struck	MAKE-A-SOUND
haste.n.02	the act of moving hurriedly and in a careless manner	RUN
spatter.n.02	the act of splashing a (liquid) substance on a surface	WET
bet.n.02	the act of gambling	BID
informing.n.01	to furnish incriminating evidence to an officer of the law (usually in return for favors)	INFORM
shit.n.04	a coarse term for defecation	EXCRETE
deception.n.02	the act of deceiving	DECEIVE
bicker.n.01	a quarrel about petty points	QUARREL_POLEMICIZE
branching.n.01	the act of branching out or dividing into branches	SEPARATE_FILTER_DETACH
slip.n.15	the act of avoiding capture (especially by cunning)	LEAVE_DEPART_RUN-AWAY
charge.n.11	request for payment of a debt	CHARGE
tying.n.01	the act of tying or binding things together	SECURE_FASTEN_TIE
spin.n.02	the act of rotating rapidly	ROLL
run.n.06	a regular trip	TRAVEL
veto.n.01	a vote that blocks a decision	PRECLUDE_FORBID_EXPEL
blackmail.n.01	extortion of money by threats to divulge discrediting information	STEAL_DEPRIVE
mistake.n.01	a wrong action attributable to bad judgment or ignorance or inattention	MISTAKE
blandishment.n.02	the act of urging by means of teasing or flattery	LURE_ENTICE
flare.n.02	a sudden burst of flame	BURN
venesection.n.01	surgical incision into a vein; used to treat hemochromatosis	CUT
blend.n.01	an occurrence of thorough mixing	COMBINE_MIX_UNITE
blend.n.03	the act of blending components together thoroughly	COMBINE_MIX_UNITE
fusion.n.01	an occurrence that involves the production of a union	COMBINE_MIX_UNITE
fusion.n.07	the act of fusing (or melting) together	CONVERT
consecration.n.02	(religion) sanctification of something by setting it apart (usually with religious rites) as dedicated to God	COMMUNE
sanctification.n.01	a religious ceremony in which something is made holy	COMMUNE
blink.n.01	a reflex that closes and opens the eyes rapidly	FACIAL-EXPRESSION
stop.n.02	the act of stopping something	STOP
blockade.n.01	a war measure that isolates some area of importance to the enemy	ENCLOSE_WRAP
blossoming.n.01	the time and process of budding and unfolding of blossoms	GROW_PLOW
mottling.n.01	the act of coloring with areas of different shades	COLOR
extinction.n.06	the act of extinguishing; causing to stop burning	FINISH_CONCLUDE_END
snivel.n.01	whining in a tearful manner	CRY
concentration.n.04	increase in density	CHANGE-APPEARANCE/STATE
dash.n.06	the act of moving with great haste	RUN
failing.n.02	failure to reach a minimum required performance	FAIL_LOSE
buzz.n.01	sound of rapid vibration	MAKE-A-SOUND
hiss.n.01	a fricative sound (especially as an expression of disapproval)	MAKE-A-SOUND
booking.n.02	the act of reserving (a place or passage) or engaging the services of (a person or group)	RESERVE
hug.n.01	a tight or amorous embrace	TOUCH
suppression.n.02	the act of withholding or withdrawing some book or writing from publication or circulation	RESTRAIN
bounce.n.03	rebounding from an impact (or series of impacts)	MOVE-BACK
leap.n.01	a light, self-propelled movement upwards or forwards	JUMP
resilience.n.02	an occurrence of rebounding or springing back	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
ricochet.n.01	a glancing rebound	HIT
limitation.n.05	an act of limiting or restricting (as by regulation)	RESTRAIN
prostration.n.02	abject submission; the emotional equivalent of prostrating your body	LOWER
box.n.10	a blow with the hand (usually on the ear)	HIT
boxing.n.01	fighting with the fists	FIGHT
denunciation.n.01	a public act of denouncing	ACCUSE
stigmatization.n.01	the act of stigmatizing	ACCUSE
clack.n.01	a sharp abrupt noise as if two objects hit together; may be repeated	MAKE-A-SOUND
bray.n.01	the cry of an ass	MAKE-A-SOUND
crush.n.04	the act of crushing	PRESS_PUSH_FOLD
grind.n.04	the act of grinding to a powder or dust	BREAK_DETERIORATE
breakage.n.03	the act of breaking something	BREAK_DETERIORATE
flop.n.03	a complete failure	FAIL_LOSE
discontinuance.n.01	the act of discontinuing or breaking off; an interruption (temporary or permanent)	FINISH_CONCLUDE_END
expose.n.01	the exposure of an impostor or a fraud	REVEAL
surf.n.01	waves breaking on the shore	FLOW
dissolution.n.05	the termination or disintegration of a relationship (between persons or nations)	DISBAND_BREAK-UP
separation.n.02	coming apart	DISBAND_BREAK-UP
relegation.n.02	the act of assigning (someone or something) to a particular class or category	SORT_CLASSIFY_ARRANGE
cave_in.n.01	the sudden collapse of something into a hollow beneath it	BREAK_DETERIORATE
fracture.n.03	the act of cracking something	BREAK_DETERIORATE
chip.n.09	the act of chipping something	BREAK_DETERIORATE
secession.n.03	formal separation from an alliance or federation	DISBAND_BREAK-UP
dispersion.n.01	spreading widely or driving off	CIRCULATE_SPREAD_DISTRIBUTE
dispersion.n.03	the act of dispersing or diffusing something	CIRCULATE_SPREAD_DISTRIBUTE
dissipation.n.01	breaking up and scattering by dispersion	CIRCULATE_SPREAD_DISTRIBUTE
scatter.n.02	the act of scattering	COVER_SPREAD_SURMOUNT
dissolving.n.01	the process of going into solution	COMBINE_MIX_UNITE
dissolution.n.01	separation into component parts	SEPARATE_FILTER_DETACH
breathing.n.01	the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation	BREATH_BLOW
emission.n.01	the act of emitting; causing to flow forth	EMIT
reproduction.n.05	the sexual activity of conceiving and bearing offspring	HAVE-SEX
transportation.n.02	the act of moving something from one location to another	CARRY_TRANSPORT
return.n.05	the act of going back to a prior location	MOVE-BACK
imposition.n.01	the act of imposing something (as a tax or an embargo)	OBLIGE_FORCE
landing.n.03	the act of coming down to the earth (or other surface)	LAND_GET-OFF
trim.n.04	cutting down to the desired size or shape	CUT
induction.n.05	the act of bringing about something (especially at an early time)	SPEED-UP
breeding.n.03	helping someone grow up to be an accepted member of the community	DEVELOP_AGE
circulation.n.06	the spread or transmission of something (as news or money) to a wider group or area	CIRCULATE_SPREAD_DISTRIBUTE
spread.n.01	process or result of distributing or extending over a wide expanse of space	CIRCULATE_SPREAD_DISTRIBUTE
spread.n.10	act of extending over a wider scope or expanse of space or time	EXTEND
hatch.n.01	the production of young from an egg	GIVE-BIRTH
sweeping.n.01	the act of cleaning with a broom	WASH_CLEAN
shopping.n.01	searching for or buying goods or services	BUY
graze.n.02	the act of grazing	EAT_BITE
sweep.n.06	a movement in an arc	MOVE-SOMETHING
disregard.n.01	lack of attention and due care	DOWNPLAY_HUMILIATE
disregard.n.02	willful lack of care and attention	DOWNPLAY_HUMILIATE
jerk.n.02	an abrupt spasmodic movement	MOVE-ONESELF
giving_up.n.01	a verbal act of admitting defeat	GIVE-UP_ABOLISH_ABANDON
devising.n.01	the act that results in something coming to be	MOUNT_ASSEMBLE_PRODUCE
exploitation.n.01	the act of making some area of land or water more profitable or productive or useful	BENEFIT_EXPLOIT
hesitation.n.03	the act of pausing uncertainly	DELAY
meeting.n.03	a casual or unexpected convergence	MEET
bunco.n.01	a swindle in which you cheat at gambling or persuade a person to buy worthless property	DECEIVE
exploitation.n.02	an act that exploits or victimizes someone (treats them unfairly)	BENEFIT_EXPLOIT
scam.n.01	a fraudulent business scheme	STEAL_DEPRIVE
fire.n.03	the process of combustion of inflammable materials producing heat and light and (often) smoke	BURN
incandescence.n.01	the phenomenon of light emission by a body as its temperature is raised	LIGHT_SHINE
foray.n.01	a sudden short attack	ATTACK_BOMB
snap.n.07	a sudden breaking	BREAK_DETERIORATE
flirt.n.02	playful behavior intended to arouse sexual interest	COURT
redemption.n.03	the act of purchasing back something previously sold	BUY
death.n.01	the event of dying or departure from life	KILL
death.n.02	the permanent end of all life functions in an organism or part of an organism	KILL
death.n.08	the act of killing	KILL
passing.n.02	euphemistic expressions for death	LEAVE_DEPART_RUN-AWAY
calibration.n.01	the act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument	ADJUST_CORRECT
ring.n.06	the sound of a bell ringing; ; ; --E. A. Poe	MAKE-A-SOUND
memory.n.02	the cognitive processes whereby past experience is remembered	REMEMBER
mobilization.n.01	act of assembling and putting into readiness for war or other emergency:	PREPARE
mobilization.n.02	act of marshaling and organizing and making ready for use or action	PREPARE
sedation.n.02	the administration of a sedative agent or drug	TREAT-WITH/BY
disguise.n.03	the act of concealing the identity of something by modifying its appearance	CLOUD_SHADOW_HIDE
dismissal.n.04	the termination of someone's employment (leaving them free to depart)	DISMISS_FIRE-SMN
channel.n.05	(often plural) a means of communication or access	TRANSMIT
channelization.n.01	management through specified channels of communication	TRANSMIT
carom.n.02	a shot in billiards in which the cue ball contacts one object ball and then the other	HIT
canter.n.01	a smooth three-beat gait; between a trot and a gallop	MOVE-BY-MEANS-OF
intonation.n.03	the act of singing in a monotonous tone	SING
capitulation.n.03	the act of surrendering (usually under agreed conditions)	RESIGN_RETIRE
capture.n.04	the act of taking of a person by force	REMOVE_TAKE-AWAY_KIDNAP
management.n.01	the act of managing something	MANAGE
treatment.n.02	the management of someone or something	MANAGE
wobble.n.01	an unsteady rocking motion	MOVE-ONESELF
orgy.n.03	a wild gathering involving excessive drinking and promiscuity	HAVE-SEX
channel.n.01	a path over which electrical signals can pass	TRANSMIT
